"","text"
"108","dropped  one small ice cube swirreled  several seconds  removed  ice cube  smell  ripe bananas exploded   finish reminded   artichoke petals dipped  butterlovely"
"109"," whiskey  savour   good flavour profile"
"110","acquired    hoopla exploded  suntorys yamazaki mainly due   sherry cask version  generally drink singlemalt scotch  straight bourbon  mainly    research   buy person   generally   wonderful journey   world  whisky   honestly say    first time   felt letdown   single malt     bad    interesting  quite unique nose   think  mom tasting notes  pretty  point  though banana   tropical fruit  think   talking    body  pretty full  substantial  said  isnt   engaging   feels muddled   banana stomping    short hints  sherry  citrus   palate  said   find  flavor profile interesting   lot  people    would  easy  recommend   dollarswhich brings us  price even   loved  profile  execution   muddled  fuzzy almost blendedmalt like   even remotely worth  dollars    charging      bucks itd  reasonable     plain overpriced"
"111","   boyfriend   looking     stuffhe loves  finally found  vendor im miami  im driving    coconut creek tomorrow  get    get    christmas"
"112"," best whisky ive tried  rank   pl  yamazaki nd glenlivet rd  chivas regal "
"113","  smooth   shame   hard  find  days"
"114","tried  bottle  recently bought  mchester airport   found  quite smooth   seemed taste differently    taste     disappointed    gone although  would  happy  buy   quid anything    think  would prefer  lagavullin     thought   touch smoother "
"115","  tried  lot  japanese whiskies   one  totally overrated    say   unfocused  much taste  alcohol   get  impression     years old      nice fruity  spicy notes  nothing comes together  way       yo   wish  explore japanese whisky go  nikka taketsuru   hibiki     different   one  much better  much  well rounded  point  spending  much money    get  good glenmorangie  half     price  yo   interesting    hand  bit pricy though"
"116","looks like scotch whisky smells like  tastes like  butall characteristics   elevated  notch   found     intense  every category   really like "
"117","    enjoyable single malt   ever   cant  find  anywhere "
"118","im  single malt scotch junkie      whiskey    different category    dig    color  nice med light amber   leaves oily trails   glass   swirl    nose  citrus     notes   sweeter fruit  youd almost expect     sugary drink   nose   mouthfeel  surprisingly dry   like   finish  citrus   tart  bitter   mean    compliment   flavor  subtle enough    enjoy   different foods  might pick  different notes  flavors   didnt notice    final verdict though  biased    stand alone whiskey  still prefer  unique taste   peated scotch   ive  peated scotch  like less   excellent whiskey  cheers"
"119","  sip   bar   hooked expensive  difficult  find   philippines found  dealer selling  equivalent    grabbed  bottles    fortune  going  jspan   weeks later price    equivalent    grabbed another one  last one even  japan   hard  come    going back  october   probably get     "
"120","  sweet flavor   whiskey   complex   yr   find step   scotland   falling behind "
"121","tried  today  one bar  good end  buying   friends  wellnice smell  tasteloved  "
"122","   enjoying  first sip    think   pretty good  would say   enjoy   glenfiddich  even  glenlivet even  macallan   price  definitely try  japanese whisky   wouldnt say   going  get another bottle   stuff againits good   leaves  wanting    sip"
"123","tried  one  couple  years ago   didnt get   nice whisky  sure  tasted like  fairly standardlight highland malt  nothing  peatheads obviously   understated generally   good honest malt     hurry  buy one even   cost "
"124","  absolutely world class   couldent  better try   enjoy japanese perfectionif    scot ill  worried"
"125"," good"
"126","köpte som prov då jag ledsnat på de lite tråkiga skottska sedan dess köper jag endast japanskt japanerna håller en grymt hög klass som på det mesta det gör de som inte provat japanskt har inte druckit whiskey citat från min  årige far"
"127","rich smokey smooth"
"128","love  one perfect  chocolate"
"129","palate palate palate zing top end register explosion  grapefruit  orange"
"130"," ate chocolate right  tasting    didnt get much citrus  mostly got chocolate"
"131","smooth  well rounded  alcohol content      whelming  first shot otr     getting  little butterscotch   back end    spent  months  jw platinum   parallel   little finer   would  thought booze traveler would accomplish anything  well    nice job   show  especially  distillery"
"132"," guys werent joking   tropical notes bang   money   tasting note "
"133","first  dont like  taste  scotland scotch   yamazaki   flavor      daughter   jet japanese assistant english teacher   bought  home  bottle  christmas since   japanese friends love   count  among   totally unique flavor   way scotch like  fabulous taste  shots   nice buzz shes definitely got  send       havent tasted  youre    big surprise   would  thought  anything besides good sake would come   japan "
"134","ive  wanting  try      tasting  hibiki blend   delicious btw everywhere seems   sold    expensive  recently found three bottles   local tesco metro    pop  bought one tried  loved   went straight back  buy   two"
"135","lucky   brothers brother  law cracked open  yamazaki  picked   tokyo  xmas eve    shocked   first sip    biting taste  tasty  fruity   long spicy finish   searched   chicago   answer      stock since  thanksgiving thanks    publicity    lark  visited  neighborhood dram shop      stock   surprising   actual price   internet price  needless  say  happily bought  entire stock     sister store   suburbs  "
"136"," arent words  describe  whisky complex  smooth classy yet   earth beautiful  tasty   could think    really cute girl next door   grew    pretty yet smart  well grounded   call   single malt whisky drinker   better find  bottle yesterday  cant say enough   amazing dram someone  said stock    agree  prices   whisky   go   easiest  rating   given "
"137","living  tokyo  became  fan  suntory scotch   smoothness  nonbiting flavor yamazaki   marketed      go   favorite suntory reserve   considered  distillerys premier brand    realize suntory whiskeys  available   us  bought  equally good substitute  comes closest    chivas regal since suntory acquired jim beam   readily available   bought  bottle last week   amazing whiskey "
"138"," tried  yamazaki  year old yesterday  blend   wonderful   taste savours   mouth   whilevery light  simply beautiful   enjoiable eveninggreat invention"
"139","totally agree   reviewer saying  could pass     im currently sipping  right next   aberlour   double  price   almost identical slightly  lightwhitefruit  less heavyredfruit   aberlour  flavor profile   slightly  maturity feels identical  ive got  balvenie  nearby   significantly  rough  less flavorful yet  expensive   yamazaki"
"140","stockpiling   writethis   wonderful whisky"
"141","im  big fan  premium single malt scotch whisky  could definitely pass    year bottle   good stuff"
"142","    whisky drinker    bought  dram   husband    curious     sip   actually liked   loved  fruity taste  hint  almond  cinnamon    nice christmas flavour   palate "
"143","  title says    wonderful malt whisky   surprised  disappointed   wife bought   bottle     tasted    like whisky   going  love "
"144"," shame    risen   tenner   last couple  years  increase really"
"145","great tasting  balanced whiskey  smooth definitely one   favorite single malts"
"146"," love  hè   soft    taste   one   greatest whiskys"
"147","theres absolutely nothing bad   say   one except  maybe  flavorful   even thatjust marginally    slightly tastes  aperitif   whisky  imo  maybe thats  future   chocolate vaguely reminds    bushmills       subtle   ill still take something  bit  malty like  glen grant  old pulteney     still  good  worth  try"
"148","loved  simple    one small negative  bottle  malt  enjoyed    opened  please dont put  cheap arse plastic top    bottle  way  good     cork  get  pop  opening"
"149"," im   position  professional tasting notes    anyone    get alittle maple hint   nose"
"150","  honestly say   never tasted  better malt   year oldive tasted  lot  whiskys   last  years  harsher    harsh although   connoisseur  know   like      "
"151","nose  good  tastes bland    trip  jap whisky disappointing  say  least   happy bunny  "
