"","text"
"597","must say    super drinkable wi dram wifey gave     christmas gift well done"
"598","love  whisky  got one     won awards  wondered    fuss     disappointed one   favs  lovely plummy woody sweet nose   nice orangey  marmalade    nice tingle   end  beautiful  great present   whisky lover   whisky party"
"599","also   smell  fruit right away"
"600"," absolute delight   currently  favourite whisky"
"601","great taste  people  drink quality liquor"
"602","   pretty nice expression  hibiki  prefer     yo    collected  bottles yummy"
"603","det finns starka skäl till att denna fantastiskt högkvalitativa dryck är slut ta  den till sverige igen "
"604","present  xmasalmost  nice  drink"
"605","nice      league  macallan would  better sold  cl bottles"
"606","cant wait  savor    saving    special occasion "
"607"," first japanese whisky   tried   although   tried better since namely  yamazaki    still one   favourites fantastic   also bought  bottle   hibiki   im saving    special occasion"
"608","quite bland   ask   really needs  extra years  get    yo  fully develop  hibiki characteristics "
"609","japansk single malt och även nu blend konkurrerar helt ut den övriga marknaden fantastiska smaker och med  känner man verkligen hur smakerna lyfter skotsk whiskey blir på sin höjd kyld men inget mer hakushu yamazaki yoichi och nu även denna munsbit trist att systembolaget  sverige inte har den på hyllan dom skulle nog ha det den går dock att beställa från systembolaget"
"610","rich complex  sweetness   plum one   best whiskies  ever tasted  ice makes  even flavours   bottle  worth buying"
"611","complex  smooth    time   yo scotch blend  even near   terms  quality"
"612"," first heard   suntory distillery   booze traveler   travel channel  jack maxwell disclosed  place     immediately captivated  absolutely   try  yes   pricey yes   sell  fast even   internet  japanese    advanced culture   whiskey   exception  stuff  easy put  best  lynchburg tennessee  shame"
"613","absolutely smooth  full flavoured fully recommended"
"614","  yr  blend   superb yamazaki yr  better     full complex body    try  compare    blends  single malts   fact    still better   yr single malt scotland whiskeys "
"615","good  litle thin nose   plum saves   love  fresh fruity tastes   japanese whiskiesthis one   best blens  ever tasted "
"616","  bottle design  worth "
"617","fantastic  bit thin nose   like    blend  plum save   love  frutiness   cherry plum   japanese whiskies   blend   single malt "
"618"," wish  bought    bottles    shelf"
"619","även japansk blend håller en överlägsen klass jag är imponerad över vilka smaker de får fram har inte känt dess like  någon skottska whiskey trots  år av provande köp"
"620","    speak drinking  hibiki  year old scotch    webpage labeling   nose palate  finish   different     box  front   havent   much yet really"
"621"," wonderful whisky    appreciate  refined subtleness   drink   prefer  kick   senses  probable look somewhere else  hibki  elegant  bodied  aromas full  sweet fruit  roasted nut slight cherryplum oakiness add  touch  water   layers  aroma changes magnificent "
"622","definietly drinkable  like     reviewers  pointed    quite flat  nothing special      heard  lot  japanese whisky   eager  try    ultimately left feeling disappointed"
"623","first taste   oak followed  apricot plum  rose finished  complex smokey hues  burnt cherry  whiskeys    magic factor   one  needs   drunk   large open whiskey glass   wide bowl swirl   times  open    start   fragrance needs  couple  minutes  get  full effect magical"
"624","received   gift   japanese friend mr jinya      give     non muslim friend  alcohol  strictly prohibited   religion  "
"625","bought    whim   price  right      said  left   flat   bit   let    first japanese distilled whisky "
"626"," ok  non descript  opens    bit  water  nothing  write home  "
"627"," yummy brings  smile   face "
"628","recently drank  brand  barcelona spain best scotch  ever "
"629","  fan  scotch  love bourbon  hibiki   wonderful mix   two   quite unique  peppery  first taste   tokyo  years ago  took  neat  needs ice   everso slight splash  water   found heaven"
"630","color  golden ambernose  herbal  fruity  oaky bourbon like nosepalate  fruity delivery quickly gives way  honey  dried fruitfinish  medium length  oaky notes   enda well balanced  entertaining whisky"
"631","il  laisse sans voix  arôme saveur fort et doux à la fois jen boirai  trop    juste parfait"
"632"," smooth  tasty"
"633"," wow  mean wow like  dew drops   leave   forest morning  drop  like gods tears  really pitched  tent   sauce   like  geisha  caressed  cubes      slurpability"
"634"," son   experienced barman  knows whiskies  bought     birthday honestly     load  different malts   one  right     best indeed  one      would go    way  replace ive  poured  last dram shame"
"635"," far av premium blends go  ranks  one   best  mevery good  around indeedwill buy        nice bottle"
"636"," nose   strong     pleasant     accustom  enjoying   nose   scotches normallyi bought     seen  good reviews   nothing else    beautiful bottleafter cracking open  bottle throwing   cubes  ice   glass  pouring   glass  enjoyed  completely different tastes   whiskey initially  pronounced flavors   incredibly smooth finish    whiskey started  cool    ice   warm smooth finish  toned   replaced   much  subtle flavor   little bite however  incredibly smooth finish     forefront   whiskey   ice began  melt  bit  changed  flavor  making every ounce   flavor   whiskey really pop     enjoyed  overall however  unpleasant nose   whiskey  one   cause   stay away  hibiki  future purchases   stick   highland scotches"
"637"," far  smoothest blended whisky"
"638"," like  echo steve mcgiffs notes  couldnt stop smelling  whisky   knew  recognised  smell rum  raisin ice cream  bottles    decided  try   year old   found even nicer   great"
"639","ok noting wrong   bottle mom plz remove  last review spent  bit  time   whisky    mesomething different  change worth  try"
"640"," receive  bottle   today   others  get  open    benromach   wonderfull  open  hibiki    impressed  bottom   cork   differnt colour   rest   cork darker maybe         taste  help lads"
"641","  rounds  many  sore head  many light weight encounters  well  went  points yamazaki  hibiki   nothing  separate  two  year olds  even price maybe  hibiki shades    bottle  use   collect  coins   funds  whiskey purchasing adventures   cant   bottle style help   id never  bought   malt    frontrunner   less jason breen"
"642","im  usamerican  admittedly  snob   comes  maltbased liquor   wont drink whiskey unless    island  ireland       wouldnt drink scotch whisky unless    scotland  bourbontype liquors sold   monikers  north american producers    experience    palate  inferior  deserve  name    spouse   went  dinner  one   favorite restaurants recently  server mentioned   recently added  japanese scotch   offerings     intrigued   inquire   bartender brought   lovely decanter  asked  smell  cork    love  first whiff  enjoyed  dram   together neither  us  remotely heavy drinkers  found   make  excellent sipping whiskey   profound complexity  warm sweetness   could  done   touch less fire    criticism  though  entirely possible  palate  simply grown unaccustomed  neat liquor    mainly imbibe scotch  whiskey   colder months   drink    though  preference  always  unadulterated scotch  whiskey   try  hibiki  year old  water      completely different array  complexlylayered flavors  aroma made  fall  love     cant recommend  blend highly enough     enjoy fine scotch andor whiskey   first place    definitely consider acquiring  bottle    even though   rate  drink  would likely last  lifetime"
"643","beautiful decanter   bottle   juice inside  worthy    sexy bottle oranges marmalade  plums nutty honey  sponge cake"
"644","smell  taste ume plum wine umeshu pineapple  honey  sweetif  dont like whiskey maybe  like "
"645","sophisticated  exotic hibiki exudes   wonderful collection  aromas  tastes   student  one   special          work     range     anything  go     worth  wait nose spring blossom  green freshness notes  plum  exotic spices lotus ginger hint  raspberry honey  sweet maltiness palate strong  subtle extremely fragrant  sweet balanced  spicy ginger  oak notes lively  velvet smooth  defined vanilla  honey notes cereal sweetness  held  check   robust oak  rich exotic fruitiness particularly raspberry  plum finish  long sweet   enduring spiciness    left   doubt     something  special    "
"646","firstly  bottle  thought   impressivebut  got     nose seriously  couldnt stop smelling itthe taste   busy    remarkable mannerlayers  tastes going back   nose  got bags  rum  raison ice creamthe vanilla  abundantsmooth clean taste distinctive   japanesei  loved  smiled  every sniff  taste     stephen mcgiff      cornwall"
"647","   bottle   awaiting  arrival homecannot wait  taste iti  getting   big respect  japanese whiskeyyamazaki yr  yr yr  remarkablei could   stop smelling  dramvery moorish indeedsteve mcgiff cornwall"
"648","    whiskey  every single drop counts   smooth sweet  fruity  finish   going  going  goingd japanese  obviously  masters  perfectionists  everything  touch go get   bottle  one  mine d "
"649","   absolute peach   dram   distinctly japanese   something really special   id thoroughly recommend    good one  blind tastings"
"650","ive tasted   japanese drams  far  none  disappointing  one   best  farthis hibiki  year old   socalled premium blend   contains besides grain whisky  packer  less   different single malts    least  years  age topped    year old  dram  matured  japanese oak first  finished  socalled umeshu cask previously used   maturing  japans famous plum brandythe whole went   process  charcoal filtering   bamboo wood  less   gives  whole  mellow soft tasteit  launched    celebrate  th anniversary  suntory hibiki distillerythe influence   umeshu cask  clearly detectable   nose apart  plum raspberry  pineapple one also gets hit   sweet honey   truckload  vanillaon  palate  duel  going    oak   barley   body  good indeedthe finish  nicely spiced  long  sweet oak prevents  dram  burning   throatmmmm  moreishthe word hibiki  several meanings  japanese one    harmonious thats  good way  describe  premium blend available   retailers  around "
"651"," initial impression took  back  asia  fresh fruits like pineapple    ripening   tropical sun    definitely  different experience         wellbalanced     plummyness  really comes    enjoyable  however  must  said  bottle   gift  would  pay          shame"
"652","one   best blends   planetfar better    jws   triedinc  bluethe  side   bit pricey    pay  quality"
"653","bought  bottle  japan   duty free shop  smooth stuff  "
"654","got  small bottle   family mart  drink   ryokan anyone saying   smooth either   different batch  lying   never  smooth whiskey hidden behind  sharp alcohol burn   good lightly smokey flavor  damn  stuff   easy"
"655","exceptionally smooth inoffensive stuff  really enjoyed    price"
"656","  drinking persons  could  even finish  bottle  smooth   thing   feel  ethyl alcohol    high price  awful   better  cheapest johnny walker "
"657","master  malts tasting notes  bang    one call  crazy      similar  bushmills  year old single malt   one    time favorites "
"658","god  youtube approves "
"659"," great everyday drink simply lovely  bit pricey  "
"660","brilliant single malt whisky  right     best scotch   buy   better"
"661","    beautiful delicate  satisfying whisky ive offered   many people  think  dont like whisky  theyve really enjoyed itone    time favourites due   subtly  distinctiveness ive got  cupboard full  bottles   wife  identify  without  help"
"662"," whisky      top   list  value  money  excellent taste  smooth  start  finish"
"663","harsher start smooth finish "
"664"," refreshing alternative single malt  must    warm summer evenings  crisp fruity notes refresh"
"665"," un des meilleurs scotch que jai bu  seul problème non disponible au canada"
"666"," tried   distillers reserve   hakushu   would say   money  better spent   expression  evidence  age statements arent necessarily  bestthis  really pleasant  enjoyable whisky    tend  prefer mellower flavours   averse  peat     right   street  still got plenty  sophistication  complexity mind    subtler areas id say   perfect  drinking  warmer weather lovely stuff"
"667"," whisky   good  drank two thirds   bottle  one night  unlike  woke   next morning   raging hangover    cant touch  stuffwould definitely recommend  anyone   never   japanese whisky  doesnt   budget   yamazaki    yo different   scotchirishother single malt  also probably worth splashing   even   slightly outside  usual budget like   mine   cant think   single scotch   price range  beats "
"668","compared  yamazaki  would still prefer  though   feel  booze   bottle  little  much"
"669"," palatable"
"670","terrible sharpness im   whisky drinker normally   recently   single malts  scotland theyve  smooth   rough"
"671"," great japanese single malt  full   things green    nose  palate green fruits herbs mint melon  cucumber abound  nose   delightful green medley   things    easily discern  utterly mouthwatering   tongue   smoke   light   easy  detect  cheap   means   great entry level japanese single malt highly recommended  "
"672"," chill   japanese alps  shy taste  smoke great"
"673"," whisky  light smooth  mellow    attributes   glenmorangie nectar dor honeylemon   palate    subtle smokey finish delightful"
"674","  delicate   unusual fruit flavours    dont find   scotch malt coming    end possibly   result   mizunara oak  whilst   exactly ardbeg   reviewer  cant detect  peat   fruit   matter  needs  tastebuds examined   anyone thinks    sweet    guess  theyve never tasted  speyside  sherried whisky  im guessing restraint  subtlety  arent  things "
"675","nearing  end   bottle shows  easy    drink   wont buy  zero green notes citrus cucumber etc zero peat     abundance  coconut ice maple syrup fudge golden syrup     sugary  mesays    mom conclude  tasteing notes suggesting  would make  greta highball"
"676","entry level  yrs malt      edge     little complexity dont believe    marketingspeak  green herbs yuzu  cucumber   maybe perhaps   smoke   finish   imagine really hardthe reality    excellent drinking whiskey  well deserved glass   evening  maybe another glass   thoroughly enjoyable"
"677","think   bath  hot water  soak    lower  gently    need  get used     enjoy   know  style  tastes maybe    go haaaaaaaa nicethis   single malt   already  checked tested    get    soak   st sip  getting  clean  refreshedits japanese precision personally  hidden corners  shocks  surpriseshowever dont get  wrong  comfort incarnate favourite filmslippers  music score   "
"678"," good alternative    year old       little     search  alternative offlicences  suburban department stores  tokyo   environs quite  accomplished whisky   price  perhaps even  little less ubiquitous   bigger   expensive  year old brother"
"679","perfectly described seriously good dropvery easy  get stuck intothe peat delicately arrives  lashings  mint  melon mmmmmsteve mcgiffcornwall"
"680","hakushu  unlike  yamazaki   discontinued hibiki  yoichi  yr olds  still somewhat available   us specifically california  overall  find  subtle hints  smokiness   nose  palate really   whole lot  smoke make hakushu  much  interesting  enjoyable   japanese whiskies    price range   subtle peat smoke lingers   background  really enhances   mostly fruity notes  dominate  probably  great teaser   uninitiated   joys  peated whisky  bring "
"681","given  eyewatering prices  days  sometimes suspect producers  taking  mick would  thought  well worth fifty quid however        taste  highland park    comparable price   far behind  favourite balvenie   much   "
"682","   great whisky  japaneses oak offers  rich  unique taste     find   whiskeys  something  savor   used  irish scotch american    glad   experience "
"683","intense flavors  forest  spice   nice subtle smoke lingering great stuff   comes   price   worth  price   yo bottles   maybe worth  try  anyone  likes stuff like glenfiddich    go    want  clean fresh scotch id give       reserved   scotch  makes  want  never drink anything else"
"684","nice flavor  light  smooth compared    single malts id say    good buy   around   wouldnt pay higher   "
"685"," bad  allcould  smoothersmellstastes  oak clove  honeygot mine  "
"686"," dont know    big words   experts use   save   special occasions   snow  falling   fire  crackling  climbed  fuji im  big fan   unbelievably tasty japanese whiskey love   distinctly original"
"687","cheers"
"688","got  yamazaki  hakushu  years brilliant whisky get   try   gets discontinued "
"689","  bought  bottle   hakushu   celebrate  birth   nd child  daughter  decided   whisky  man   impressedprobably  freshest nose ive experienced   always roll  eyes  people nose  whisky   say something silly like smells   rolling meadowblah blah blah    whiskywow consider   changed man   actually felt like  nose transported    quiet japanese forest   found  taste   clean  sweet enough   peaty enough  kinda like  sweet terpentine   sounds good    youwhich  probably shouldnt    minute    airing   became  amazingly smooth drink   harsh edge   peat rolled   bit   transformed  something gulpable    wouldnt consider  costbut      impressed     sure   staple  cabinet "
"690"," think  hakushu whiskies     distinct  original profile    ones  least resemble scotch    japanese ive tasted  farat first    bit rough   rally opens  halfway    months"
"691","   blind tasting   distillers reserve  year   year old hakushu    year   clear winner   three      year   delicate    subtle  notes  layers    two    always   staple   world whiskey collection "
"692"," seems    lot  reviewers  elementary grammar commenting   specialized whiskys  truth   may spend good money    well crafted whisky  simply dont like     eye   taster    tear   finely crafted product like hakushu   take  time  understand  complexity  regional whisky"
"693","price point  high due  popularity     go   year old "
"694","  much expensive   quality  course  nice product     price yes   subtle fruityand taste good   refuse  buy speculative whiskey"
"695","   first japanese wiskey ive tried    lots  experience  scotch  absolutely wonderful   adore coal ila  bruichladdich    right      hard  say  worth   bottle   definitely  lovely whiskey"
"696"," expensive    year japanese whisky  good  "
"697"," bowmore ehhhhh  hakushu  much  subtle  layered perfect   clear cool day   rainy night  youre inclined  calm things    essence  aroma    gentle forest breeze slightly pear fruity hints  almond fresh grass  clean clear water   alps   refined whisky  really    enjoy  jack daniels  coke"
"698"," expensive   doesnt feel like   yo   get  bowmore  instead half  price   get  well rounded whisky  doesnt taste like alcohol   tried plenty  japanese whisky   one   worst"
"699","fantasticbut  ice     flavors explode"
"700"," received three bottles    year hakushu one   best gifts ive received  far   comes  whiskey"
"701"," sweet  less burn  yamazaki  great yr   alternative   yamazaki   u want   taste  less bite"
"702"," received three bottles    year old hakushu   hesitant  opening     one   best decisions ive made"
"703","   little hesitant   bought  due   mixed reviews   absolutely  regrets  taking  first sip   smokey  light enough  drink without adding  water  grows    taste  smell gets better   sip "
"704","  fresh whiskey little gras gently smoky  water  tastes comes     almost feel  alp airno scot comes even close sorry"
"705","   beachgrass   bonfire    distance  wish    yamazaki  taste       terrific   sherry cloying smoke    faintest none   whiskey distillery taste   get  even  lightest oban  scapa scotches  seriously    day   secluded beach  really like nothing ive ever    underappreciated imo     texas  well worth     id still even consider     simplicity  uniqueness"
"706"," drank   glenlivet  glenfiddich    winner  hakushu  cant beleve   guy  age    omg"
"707"," dont believe  upon opening  bottle  pouring two comments    room    effect  stinks       strong odor  also really  lot  bite might  better    prooftexas single malt whisky  inexpensive single malt irish  scotch  much  enjoyable"
"708","   long time ago since    really new experience   malt worldjust trye   enjoy"
"709","brand new  japanese whiskey   lover   irish  scotch whiskey    good whiskey  agree   review  would  thought  whiskey would run      good  mention  water needed  thumbs "
"710"," trying    restaurant   weekend  genuinely thought    whisky worth       bargain   tell    whisky compares excellently   smoother peaty expressions  islay  campbeltown  smell alone  worth  entry fee "
"711","   sweet  smooth whisky  gentle easy notes easy sipping  water needed love "
"712","  cracking little malt    fresh  crisp  smoke   subtle  comes   fore   time   drink   builds  builds   light  really compliments  lightness   drink lovely thick mouthfeel  medium finish   sweet     top summer whisky  possibly  best  year old ive ever  complexity   malt much much oldmaybe    yos"
"713","great whisky  smell  wood fruit  caramel  taste  wood caramel  smoke slightly cheaper alternative  yamazaki "
"714","hakushu  really underrated   underrated compare  yamasaki hakushu   one   favourite  seriously good "
"715"," never really rated hakushu    decent   bit harsh    near  harmonious  say  hibiki   taketsuru  made    revelation smooth  caremelly   fruity nose    absolute delight however   ice melted   sub stantially  nose went   chemical notes started coming  thus   stars"
"716","  dont think    great  many make        really nice whisky"
"717"," really think somore    discover  wonderful japanese whiskies   disastrous tasting   yoichi  scotland last year    convinced    unfortunate oneoff  everything ive sampled recently    revelation   sharp fresh lingering sweetness apples pears  fresh cut flowers  gorgeous clean  deeply tasty recommended"
"718","goes straight    top  list every whiskylover  try  one  "
"719","ive     purchase list   long time    came back  stock  jumped   im  massive fan  japanese whisky   pretty much every mainstream bottling  offer   big fan   yo hakushu probably  favourite  found   little underwhelming really  much  complex      would expect   oak    right   lacks balance   finish  isnt  good     seems   best parts      lost   extra years   vibrancy  dance  get    hakushu  isnt  glad  bought one   would chose       heartbeatwhich makes   little sad inside"
"720","awesome taste"
"721","top shelf"
"722","light amber  color nose  subtle peat  subtle white oak flavors explodes   mouth yet restraint   understated elegance soft white oak silky  round  spicy  long finish  tremendous power  finesse  long elegant finish   wonder     japanese oak theyve  talking    taste remind   eating best toro sushi ie subtle silky flavors  meditate   inspired   style   different   overtly sweet sherry oak stuff    sublime   points   got  spot   macallan    yamazaki    trio  yearolds compared side  side   yamazaki distillery   us  per shot maybe less   shot"
"723","one   best whisky   ever tasted beautiful stuff"
"724"," tried    kinclaith  year old    honest  disappointed  comparison    great  lacked  complexity  smooth buttery oak like richness   kinclaith    good   amazing  us"
"725","simply amazing"
"726","send    ill let  know  one  buys one ill bring  steaks  supply  glasses"
"727","firstly  love japanese whisky   makes  feel like bill murray every time  pick one  pathetically hoping  scarlet johansson  come along  form  weird sexual bond  mehakushu  suntorys shinobi  silent assassin  lurks patiently waiting  make  move using well practiced uzura gakure techniques possibly learned  robert  bruce  entices   using  scent   convince      nature occupy  earth   makes  move  use  weaponry  textbook possibly weapons made  kentucky   darent break  rules  job  done   much   flicker   eyelid   somewhat jilted manner  performs  ritualistic engagement   surrenders  leaving  one lacerationthe one  keeps  coming back     good execution  shinobi hits  gut   proud smile   face  always knowing  could  done betterthis whisky  soft   nose full  citrus  floral notes morning dew  parma violets   slightly peated whiff   palate   floats peachy fucking creamy  grows  lingers   taste  dried fruits salty buttercream   dryness   somewhat reminiscent   japanese lager       wonderful whisky easy drinking   isnt going  change  world like  girl  mother warned     know   selling  short  fuck  youre   great time  something better comes along"
"728"," one  awesome  creamy    get balanced  sweet bananas   way   unpleasing one   favourites"
"729","fresh mint green tea  fresh breeze   shade   sunny day  thats   get   one super unique delicate haiku   glass  one   favorite japanese whiskys  ive tried   "
"730","hakushu   peated japanese whiskey made   nonpeated   heavily peated malt  result   whiskey   fine balance  earthy flavors  smoke without  heavy taste  phenols    iodine flavors found  islay whiskeys despite  filtered  charcoal  bamboo filters  spirit   little bourbon  charcoal flavors    sweet  refined  little acidity   lower alcohol content   typical  peated whiskeys flavors  lemon smoke green tea   salinity  reminds   soy sauces  teriyaki flavors  theres  flavor  pine  pine needles   taste   autumn leaves smell theres also something   center   palate  reminds   much  suntorys blended hibiki  uses   hakushu  yamazaki malts    sourness   peated flavor   distinct  suntorys blends  absolutely delicious balance  sour  sweet flavors tempered   smoky  earthy quality color  desirably dark without  obviously altered  caramel e  though   knowledge   caramel coloring   whiskey overall would highly recommend  malt  youre looking   great summer whiskey   enjoyed   rocks    highball     flavor profile completely disappears   presence  water  smokiness   pine flavors  retained  become prominent   malt making   highly refreshing spirit  warmer days "
"731"," smooth exactly   review said  treated   good yr scotch   dissapointed  work   liquor store  ohio   recommend   others damn nice job "
"732"," agree  sweet  little smoke   dont get  peat  lot  people  like  one  think  closer   irish taste   scotch     merits  japanese whiskey  higher   percenter may help    describe    non offensive drink  would  never need water   made smooth  please  mass  blend    distillery  almost blended   sweet surprise  drinking alcohol drink"
"733","   sweet  smooth whisky  gentle easy notes  easy sipping  water needed love "
"734"," whiskey  far  sweet  felt   notes similar  sake   bad response however terrible   expect whiskey   fine japanese single malts    one  isnt one  "
"735","light peat  smoke throughout nose like  rum raising ice cream rick  peaty   palate   candied finish"
"736","   outstanding  yo whisky  think  description   chaps  master  malt explains  character   whisky  well  fresh crisp character  notes  freshly cut hay makes  something really special  absolute pleasure  drink imo  love   would probably go  far   say   best  yo whisky     pleasure  drinking    tried  "
"737","  bottle   fine whisky   xmas period   must say  didnt last  longit   fresh   mouth    drinkableits  perfect drink   medium bodyed cuban cigar  d"
"738","   stop producing    uk market  really complex malt    view better   "
"739"," long ago  bought two bottles      yen total around     still  one  im hanging     theyre   yen    even manage  find    theres really something unique   way  marry aged malt  grain whiskies    age  mixture  wood   sets  whisky apart   closest thing ive found  compare     cutty sark prohibition     really    class    see  anywhere id suggest grabbing   telling    "
"740","excellent whiskey"
"741"," enjoyed  bottle  nikka found   little harsh neat    drop  water opened   nicely  made  thoroughly drinkable "
"742"," tastes like scotch  theres something different    drinking   realized   blend   grain element  married flawlessly   full bodied  pleasant    wouldnt tell    nose  undiluted taste add  bit  water    release  aromas  werent    admit  approached  one  skepticism yeah japanese    know    thought  lesson japanese  turn anything  artthis one  really special even   sold  ml bottles"
"743","excellent incredibly full flavour like  punch   nose  loved "
"744","  ok  drinkable  nothing special  distinctive  big   far  much"
"745","maybe   expecting  bit  much ive heard  much good   whisky   nicely balanced although  hate  say  found   little boring   taste  considering  price ill  likely  buy    may  cheap   japanese whisky   could get  nice cl scotch   price"
"746"," offensive   best   say"
"747","  fantastic whisky   live  japan  yet  hard  find   much   time       actually pretty cheap       worth every pennyyen   rich complex  fullflavored  sure     edge  older whiskies usually dont  dont let  turn       bad thing   whisky  something special   punches well   weight  enjoy      chance "
"748"," complex range  flavours none    unpleasant reminds   californian wines  overstating everything  tries  copythe funny shape   bottle makes  hard  control  pouring"
"749","despite  high percentage  doesnt try  fight    front teeth    hint   bite   soft like  gentle nibble  rather smooth  even  little creamy   palette definitely  recommended purchase "
"750"," much   way  flavour  definitely drinkable  nothing  shout    taste im afraid"
"751","great whisky notes  fruits spices  toffee  abv  goes     abv stacks  well  yamazaki hibiki hakushu etc   fraction   cost  available   stores   us"
"752","nectar   glass    little highland water   equal    best scotch "
"753"," normally  jamesons red breast would  put  little water   nikka"
"754"," got  inviting nose   hints  spice subtle oak amidst flowery tones  good one  sip    weather pretty  pat  like  master tasters described itperfect  melbourneausgot introduced     cool bar called sloththanksboris lissanevitch jr"
"755","pure excellence best ive ever "
"756","seriously goodive tasted   japanese whiskies   time   one    good  really intense flavour  sweet caramel  far eastern delight delivers something   pleasurable  barrels  use impart  flavour  dont think ive found elsewhere   translation app works well enough  talks   soy  sake effect whatever    bloody good  really value even     cl    favour  try   mouth  thank   "
"757"," tasty blend  nikka   bit expensive     ml nikka crafted  unique taste  vanilla japanese plums  dried fruits abv    adding  water  take away  edge otherwise  top quality drink  yoichi hokkaido"
"758","  review see highland poacher blended "
"759"," appealing nose  marzipan vanilla banana pineapple cedar pecans  cinnamon  high esters  maybe  long ferment   like  rum nose   whisky like  water added  honey slight peat  malt evident  really pronounced   palate  baked orange  pineapple josticks prunes hay sandalwood tobacco cedar  evolves  long complex finish  phenolics coffee  sorts really  balanced intense defined long  complex  outstanding value"
"760","best whisky  stands alone    class  sophistication  taste"
"761"," truly exceptional whisky may  japanese reign   whisky industry indefinitely "
"762","amazing value  money   hesitate "
"763"," best blended   ever tried  full    full  kind  sweet  almost perfect "
"764"," build  great whiskey "
"765","  dram  rival  true greats    pleasant sipping whisky   terms  quality  cost  pound  pound  best value foreign whisky   marketa must    decent drinks cabinet"
"766"," favourite blend  far fairly spicy   interesting taste     way  boring whisky"
"767","  tried one bottle   chance     yokouska    without   research   product    pleasantly surprised  would recommend   serious whiskey consumer  try  one  wont  disappointed  "
"768"," everything one would want   proper whisky   sweet salty fruity bitter  little smokey  balance   flavours  absolutely superb  hits    tip   side   tongue  attacks  whole damned muscle   hell   dram  theres  one word   define properly umami"
"769"," ive   whisky drinker  years   easy  get caught   scotch   bourbon flavoured liquor theres  clear difference  nikka   whiskys maybe   price point     high quality drop  flavours  smooth warm caramel   rose scent delivers  smooth vanilla palet  takes   journey  first sip   last ive mixed nikka  cola stired  sips   spoon   strange reason beyond  expertise  drink turns   light brown colour     cola  whisky  towards  bottom end   glass  mix  single barrel nikka  ice cubes     whiskys   journey  worth telling  story "
"770"," favourite blended   smooth  rounder  punch  character "
"771","  outset   smell  slightly stronger  usual   proper punch  flavour slightly unrefined  still plenty  offer  spicy   mouth  certainly  like  smooth malt  finish lasts   middle  next week    first japanese whisky    certainly buy    fun drink   enjoyed  friends    quiet contemplator "
"772","sadly     good     years ago  whiskey tastes   young  used    favorite goto whiskey  hope  bottle mellows   coming months   oxidizes"
"773","sitting   ryokan  shibu onsen  tastes pretty good  mei bought   impulse  nagano   way   first sip confirms  great value  drop isfor  unaged bottling  really    character youd associate  much  expensive japanese whisky  ill  bringing    home      find   "
"774","color goldennose 	sweet honey apples melon liquorice mint chocolatepalate 	 brushing teeth drysweet entry light hints  fruity aroma liquorice spicy lemonfinish 	slightly bitter sweet long  warmalthough ml bottle   little small  makes      good whisky neat without  water added flavors  complex lots  oak  fruit honey  spicy even    sits  min great whisky  sip    long finish  savor   flavor long  swallowing "
"775","excellent value  money   truly exceptional scotch  rivals highland park  higher abv    pleasant flavour profile "
"776","    good  affordable blends get   real star   nikka lineup  alas    sitetheir yoichi single malt ml   filled   suitcase    way back  japan last year  spectacularly good  drinkable everyday without ever getting tired     around aud thanks  low taxes  truly sinful"
"777"," tried    house party  went  buy two ml bottles      like cognac crossing    fruity speyside stewed applepear   hint  orange   syrup   floral spices vanillabubble gum   side  overall   cad   valueformoney solid  great   want  speyside   fruity  decisively differnt "
"778","everything  need  want  know  whisky  locked   cute bottle  one person  permitted  bottle  whisky        want   nikka pure malt white  equally good   "
"779"," falling  love  nikka  one  thought  would give   go    superb smooth syrup like   wonderful sweet toffee like finish superb"
"780"," first japanese whisky   sure   disappoint  great nose palate  finish    wish  could get  larger bottle   states"
"781","ive sampled  lot  malts  time  nikka   barrel surpasses  lotthick bold aromatic      ditch  illusion  may   whisky must come   glen    something  behold  know im gushing   really   good "
"782","    english distillery sampling   variety   english    ok  yuk  yummy   given nikka   experiment citricous  wafts  flavour  allowed  sit   bought  english   bottle   blooming loved   water  neat perhaps preferred   thimble  water   definitely worth  purchase "
"783","best wishes "
"784","liked  since  first time  tried     price  much  beat  yet  time  get another bottle"
"785","first expression   whisky    horrible   thinking  something must  gone wrong  something   way  drank itthis beverage requires  time   cautions  water    overdrown  easily  trying    alcohol content give   spoon  water  wait    minutes try   slowly let  nose  mouth  get accustomed  alcohol   would discover  rich tastevery interesting experience  unfortunately   japan whisky price    little bit overpriced"
"786"," first tasted    whisky show  old billingsgate     spot   nose flavor  aftertaste  bought one bottle  drank   fast  missed  nuances  ordered two    give    thorough review  two weeks  overall  enormously strong complex  flavorful whisky  plenty  fruitiness  totally irresistible "
"787","buy  whisky  incredible value  money im  total novice  whisky     notes  næsen syrlige frugter apelsin skrald og frugtsalatmunden frugt oak mandel og et hint af karamelnose elegant fruits like   fruit salat leaning  towards citrus fruitsorange peel slightly sweet  also nutty almonds mouth fruits follow   come almondsnuts   hint  caramel   end  little dry  rather oaky "
"788"," nd japanese  hibiki   im  impressed againagree  poster     thick  wonderfully   lots  tropical fruit spice  almost buttery   palate  lovely mouthfeel   long sweet syrupy finish   touch  wood spice dryness     like   drops  water       drunk without  problem  considering rising prices    excellent value whisky  japan  recommended"
